"gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue",
"1639348997	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b4-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.625817	-82.961017			0.0	0.0	20.4	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639348465	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b3-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.625817	-82.961017			0.0	0.0	22.3	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639347981	3063fd20-83ba-4716-9a5e-07fcea584f06	109017b2-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.613633	-82.9621			0.0	0.0	14.6	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639347472	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0ac-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.613633	-82.9621			0.0	0.0	12.7	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639347063	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0ab-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.610817	-82.986167			0.0	0.0	21.3	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639346583	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0aa-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.610817	-82.986167			0.0	0.0	21.8	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639346069	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a9-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.634983	-82.795017			0.0	0.0	14.6	0.0	2012-07-24T02:00Z	24	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639345600	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a8-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.634983	-82.794917			0.0	0.0	18.0	0.0	2012-07-24T02:00Z	24	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639345240	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a7-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.60915	-82.992467			0.0	0.0	24.1	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639344718	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a6-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.60915	-82.992467			0.0	0.0	25.3	0.0	2012-07-30T02:00Z	30	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639344142	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a5-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.640167	-82.856433			0.0	0.0	11.6	0.0	2012-07-27T02:00Z	27	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639343701	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a4-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.639983	-82.856417			0.0	0.0	13.4	0.0	2012-07-27T02:00Z	27	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639343249	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a3-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.639033	-82.8601			0.0	0.0	12.2	0.0	2012-07-27T02:00Z	27	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639342667	3063fd20-83ba-4716-9a5e-07fcea584f06	108ff0a2-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.6392	-82.859933			0.0	0.0	12.2	0.0	2012-07-27T02:00Z	27	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639342312	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc99c-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.590683	-82.910183			0.0	0.0	8.4	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639341809	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc99b-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.590817	-82.910333			0.0	0.0	11.3	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639341346	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc99a-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.630933	-82.904067			0.0	0.0	9.0	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
"1639340847	3063fd20-83ba-4716-9a5e-07fcea584f06	108fc999-9c97-11e7-8fc0-c10f9e40a85c	Animalia	Chordata	Elasmobranchii	Rajiformes	Rhinobatidae	Rhinobatos	Rhinobatos lentiginosus		SPECIES	Rhinobatos lentiginosus Garman"," 1880	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	24.630783	-82.903933			0.0	0.0	11.6	0.0	2012-07-28T02:00Z	28	7	2012	2419045	2419045	HUMAN_OBSERVATION						CC0_1_0					2017-09-18T21:30Z		GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;REFERENCES_URI_INVALID;COORDINATE_ROUNDED"
